Crop,State,Season,Quantity (kg),Price per kg (₹),Total Value (₹)
Cotton,Punjab,Kharif,3286,33.95,111544.64
Wheat,Karnataka,Rabi,3737,24.81,92706.43
Wheat,Tamil Nadu,Kharif,2544,22.81,58032.74
Maize,Tamil Nadu,Rabi,2882,21.43,61761.52
Cotton,Maharashtra,Rabi,2692,17.71,47682.56
Rice,Tamil Nadu,Kharif,1212,18.68,22645.86
Cotton,Gujarat,Kharif,2831,33.11,93722.53
Rice,Punjab,Rabi,2622,29.12,76354.04
Soybean,Gujarat,Kharif,1540,25.54,39336.98
Maize,Maharashtra,Rabi,2818,19.59,55211.91
Cotton,Tamil Nadu,Kharif,4277,32.69,139819.03
Rice,Tamil Nadu,Rabi,1570,34.18,53662.83
Wheat,Gujarat,Rabi,1499,15.56,23319.68
Cotton,Gujarat,Kharif,2290,31.04,71084.21
Wheat,Karnataka,Rabi,4883,16.5,80546.24
Wheat,Karnataka,Kharif,3687,29.62,109203.92
Cotton,Gujarat,Kharif,1347,17.07,22987.58
Rice,Maharashtra,Rabi,4650,17.18,79890.02
Maize,Karnataka,Rabi,4422,16.2,71629.17
Soybean,Karnataka,Kharif,1230,21.72,26710.89
Maize,Maharashtra,Rabi,2863,30.95,88599.99
Wheat,Karnataka,Kharif,1444,27.27,39383.28
Soybean,Maharashtra,Rabi,2582,33.76,87160.09
Soybean,Gujarat,Kharif,1789,18.76,33563.09
Cotton,Karnataka,Rabi,1280,34.32,43930.04
Wheat,Gujarat,Rabi,4527,32.87,148790.55
Cotton,Gujarat,Kharif,4088,22.22,90820.3
Cotton,Punjab,Kharif,4670,28.36,132450.71
Wheat,Gujarat,Rabi,2071,31.56,65361.22
Wheat,Karnataka,Kharif,3965,21.15,83841.41
Cotton,Tamil Nadu,Rabi,2134,26.79,57160.27
Soybean,Punjab,Rabi,706,23.74,16760.91
Rice,Maharashtra,Kharif,1682,29.07,48891.24
Wheat,Punjab,Rabi,3118,22.03,68684.8
Rice,Punjab,Kharif,1431,20.33,29094.23
Cotton,Karnataka,Rabi,3537,15.5,54826.48
Rice,Punjab,Rabi,2036,27.22,55424.51
Soybean,Tamil Nadu,Kharif,3105,33.05,102613.32
Soybean,Gujarat,Kharif,3925,31.43,123373.17
Wheat,Gujarat,Rabi,3510,33.13,116271.27
Rice,Gujarat,Rabi,4775,17.92,85567.29
Maize,Punjab,Kharif,1082,34.96,37826.72
Maize,Gujarat,Rabi,3875,31.78,123131.2
Maize,Maharashtra,Kharif,2277,27.45,62494.87
Soybean,Punjab,Kharif,4863,34.3,166793.27
Cotton,Gujarat,Rabi,869,30.62,26610.9
Soybean,Tamil Nadu,Rabi,1228,18.15,22288.02
Rice,Karnataka,Rabi,2116,15.82,33482.45
Soybean,Tamil Nadu,Rabi,3317,24.42,81012.29
Maize,Maharashtra,Kharif,2211,25.51,56407.36
Rice,Punjab,Rabi,4902,31.17,152798.86
Maize,Punjab,Kharif,3074,20.01,61514.83
Rice,Punjab,Kharif,687,22.6,15527.63
Cotton,Tamil Nadu,Rabi,1296,22.54,29217.24
Cotton,Karnataka,Rabi,1140,15.78,17987.51
Rice,Tamil Nadu,Rabi,4967,22.02,109369.38
Cotton,Gujarat,Rabi,1350,16.54,22333.63
Rice,Gujarat,Rabi,1010,24.48,24723.4
Wheat,Punjab,Rabi,2354,31.72,74660.27
Wheat,Maharashtra,Rabi,2243,25.46,57099.09
Wheat,Tamil Nadu,Kharif,4234,25.23,106827.25
Rice,Maharashtra,Rabi,2635,24.06,63404.25
Soybean,Maharashtra,Kharif,4615,22.63,104438.99
Rice,Maharashtra,Rabi,3442,30.67,105559.5
Cotton,Punjab,Kharif,567,28.53,16174.65
Wheat,Karnataka,Kharif,709,28.59,20272.79
Rice,Punjab,Kharif,3471,22.12,76786.91
Soybean,Gujarat,Kharif,2801,25.37,71074.26
Maize,Punjab,Rabi,1053,30.27,31872.74
Maize,Maharashtra,Rabi,3287,15.94,52403.53
Soybean,Gujarat,Rabi,697,29.9,20842.22
Rice,Maharashtra,Rabi,4204,34.63,145578.37
Soybean,Gujarat,Rabi,2012,19.04,38313.99
Maize,Tamil Nadu,Kharif,2975,19.52,58071.86
Rice,Maharashtra,Kharif,1086,17.73,19253.77
Wheat,Tamil Nadu,Kharif,4550,21.36,97204.04
Wheat,Gujarat,Rabi,1693,21.33,36111.95
Maize,Tamil Nadu,Rabi,2258,19.53,44097.87
Maize,Karnataka,Kharif,2990,25.36,75822.3
Rice,Karnataka,Kharif,3441,28.96,99667.02
Cotton,Tamil Nadu,Kharif,3362,22.25,74814.64
Wheat,Karnataka,Rabi,2200,27.74,61037.92
Soybean,Maharashtra,Rabi,4197,25.77,108173.87
Rice,Karnataka,Kharif,1852,21.56,39933.01
Cotton,Punjab,Kharif,1021,27.42,28000.25
Wheat,Karnataka,Rabi,4895,15.37,75246.87
Wheat,Tamil Nadu,Rabi,3004,24.72,74265.68
Cotton,Karnataka,Rabi,2811,19.07,53618.51
Rice,Karnataka,Rabi,3318,31.77,105396.73
Maize,Karnataka,Kharif,2954,25.82,76271.84
Rice,Maharashtra,Kharif,4543,31.51,143168.16
Maize,Tamil Nadu,Kharif,2545,34.55,87940.89
Cotton,Punjab,Kharif,3852,17.57,67685.35
Cotton,Karnataka,Rabi,3534,16.05,56717.12
Wheat,Tamil Nadu,Kharif,3851,15.02,57829.63
Cotton,Tamil Nadu,Kharif,4508,20.32,91608.05
Rice,Gujarat,Rabi,1248,18.37,22923.58
Soybean,Punjab,Kharif,1948,20.16,39273.31
Soybean,Karnataka,Rabi,3258,26.91,87677.6
Wheat,Punjab,Kharif,1591,21.31,33908.18
Maize,Gujarat,Kharif,2657,24.62,65427.13
Maize,Punjab,Rabi,3925,31.44,123402.76
Soybean,Tamil Nadu,Kharif,1892,29.48,55782.21
Soybean,Tamil Nadu,Kharif,2739,23.79,65155.45
Cotton,Punjab,Kharif,1792,31.09,55713.64
Rice,Karnataka,Rabi,660,17.22,11365.75
Soybean,Gujarat,Rabi,3021,18.9,57101.17
Rice,Maharashtra,Rabi,4969,29.96,148891.07
Rice,Maharashtra,Kharif,3566,22.53,80348.91
Cotton,Tamil Nadu,Kharif,2137,33.8,72235.62
Cotton,Gujarat,Kharif,4609,27.47,126611.55
Rice,Punjab,Rabi,4945,27.77,137326.06
Soybean,Gujarat,Kharif,2807,18.84,52886.21
Wheat,Punjab,Rabi,4835,25.85,124961.43
Rice,Gujarat,Kharif,4880,26.62,129912.61
Wheat,Punjab,Rabi,2379,16.03,38139.57
Wheat,Tamil Nadu,Rabi,650,26.0,16901.55
Soybean,Karnataka,Kharif,4216,19.95,84098.55
Maize,Tamil Nadu,Rabi,1210,30.35,36728.43
Cotton,Tamil Nadu,Kharif,4824,21.82,105265.34
Soybean,Karnataka,Rabi,2320,24.98,57947.33
Cotton,Tamil Nadu,Kharif,1643,18.74,30795.55
Cotton,Maharashtra,Kharif,3560,22.61,80481.11
Cotton,Maharashtra,Kharif,1437,31.35,45053.83
Soybean,Maharashtra,Rabi,3160,34.12,107803.97
Soybean,Tamil Nadu,Rabi,4441,24.81,110163.53
Soybean,Maharashtra,Kharif,1298,19.34,25099.63
Maize,Karnataka,Kharif,4199,28.58,120003.25
Wheat,Maharashtra,Kharif,4000,23.65,94600.16
Rice,Maharashtra,Rabi,2890,33.31,96267.77
Soybean,Maharashtra,Rabi,1610,27.06,43562.51
Wheat,Gujarat,Rabi,1536,16.27,24995.92
Maize,Gujarat,Kharif,2541,19.7,50046.92
Wheat,Gujarat,Rabi,4009,27.16,108886.2
Cotton,Maharashtra,Kharif,1228,27.7,34011.57
Maize,Punjab,Kharif,3519,21.74,76510.06
Cotton,Punjab,Rabi,3908,30.45,119004.04
Rice,Punjab,Kharif,3033,18.59,56375.77
Maize,Karnataka,Rabi,4283,19.14,81978.7
Maize,Gujarat,Kharif,2114,23.81,50343.42
Rice,Karnataka,Kharif,2284,33.45,76406.16
Soybean,Punjab,Rabi,2582,21.69,55997.14
Rice,Karnataka,Rabi,4163,34.14,142118.21
Rice,Karnataka,Kharif,1535,25.57,39244.33
Cotton,Karnataka,Kharif,3321,20.06,66613.71
Rice,Karnataka,Kharif,3539,15.92,56335.42
Soybean,Tamil Nadu,Kharif,1996,25.67,51231.04
Maize,Tamil Nadu,Rabi,1309,20.96,27442.13
Wheat,Tamil Nadu,Kharif,1380,33.45,46159.11
Rice,Maharashtra,Kharif,1293,22.33,28876.61
Maize,Maharashtra,Rabi,2310,20.83,48121.89
Cotton,Maharashtra,Rabi,3971,16.24,64481.29
Rice,Punjab,Kharif,4560,20.57,93784.21
Maize,Maharashtra,Rabi,2325,16.19,37646.29
Soybean,Gujarat,Rabi,1064,16.23,17268.06
Wheat,Gujarat,Rabi,4134,32.26,133347.13
Maize,Karnataka,Kharif,552,30.19,16667.19
Maize,Punjab,Rabi,1675,22.42,37557.64
Wheat,Karnataka,Rabi,2874,24.4,70125.5
Maize,Punjab,Rabi,960,18.44,17703.93
Rice,Gujarat,Rabi,4608,28.64,131951.52
Rice,Gujarat,Kharif,3796,17.91,67995.85
Wheat,Karnataka,Rabi,3513,19.99,70215.06
Wheat,Karnataka,Rabi,1608,20.9,33605.03
Cotton,Punjab,Rabi,1661,31.65,52569.89
Soybean,Karnataka,Rabi,2388,18.17,43388.81
Cotton,Gujarat,Rabi,3682,15.08,55510.4
Cotton,Tamil Nadu,Kharif,997,24.35,24274.1
Rice,Maharashtra,Kharif,3527,22.3,78634.97
Cotton,Gujarat,Kharif,4261,20.72,88293.31
Soybean,Gujarat,Rabi,1545,15.12,23367.98
Cotton,Punjab,Rabi,4637,15.86,73559.05
Rice,Karnataka,Kharif,1515,30.41,46073.35
Rice,Gujarat,Kharif,955,25.69,24538.2
Rice,Punjab,Kharif,3549,30.42,107963.79
Wheat,Maharashtra,Kharif,3005,29.44,88475.46
Soybean,Karnataka,Kharif,4299,23.15,99528.35
Soybean,Tamil Nadu,Rabi,4549,27.2,123737.89
Cotton,Tamil Nadu,Kharif,4118,34.33,141372.25
Soybean,Gujarat,Kharif,3856,17.44,67230.03
Maize,Karnataka,Kharif,3347,16.07,53797.61
Rice,Tamil Nadu,Rabi,1148,29.83,34243.62
Cotton,Maharashtra,Kharif,4327,20.33,87952.92
Wheat,Maharashtra,Kharif,1909,24.22,46240.16
Rice,Maharashtra,Rabi,1954,22.43,43830.49
Soybean,Maharashtra,Kharif,4070,33.21,135179.91
Soybean,Punjab,Kharif,666,19.2,12787.27
Rice,Gujarat,Kharif,1111,17.39,19322.75
Rice,Gujarat,Rabi,2463,28.69,70657.54
Soybean,Punjab,Kharif,577,22.98,13257.54
Wheat,Maharashtra,Rabi,836,23.67,19791.92
Soybean,Maharashtra,Kharif,4220,24.82,104724.82
Cotton,Gujarat,Kharif,3145,26.26,82586.32
Rice,Maharashtra,Rabi,4716,29.62,139667.39
Cotton,Maharashtra,Rabi,4319,30.97,133740.06
Maize,Tamil Nadu,Kharif,1969,19.1,37608.86
Soybean,Gujarat,Kharif,681,20.39,13888.76
Soybean,Gujarat,Rabi,831,26.7,22187.15
Cotton,Gujarat,Rabi,4162,31.82,132418.75
Rice,Karnataka,Rabi,2047,34.15,69900.3
Cotton,Karnataka,Kharif,1882,23.56,44341.66
Soybean,Maharashtra,Kharif,2271,31.57,71693.57
Cotton,Maharashtra,Rabi,2110,18.63,39313.27
Maize,Punjab,Rabi,1439,28.18,40547.12
Rice,Maharashtra,Kharif,4650,18.25,84862.17
Rice,Punjab,Rabi,4778,20.0,95570.68
Maize,Gujarat,Rabi,1609,28.51,45867.16
Soybean,Gujarat,Kharif,4291,26.2,112443.84
Maize,Punjab,Kharif,3841,27.18,104383.57
Maize,Punjab,Kharif,3038,19.26,58521.28
Wheat,Maharashtra,Rabi,2607,19.36,50482.01
Maize,Maharashtra,Rabi,3535,24.68,87234.04
Maize,Karnataka,Kharif,3292,22.45,73894.78
Maize,Maharashtra,Rabi,3247,23.71,76972.75
Wheat,Gujarat,Kharif,1081,33.58,36302.71
Maize,Tamil Nadu,Kharif,1671,31.06,51896.28
Maize,Punjab,Kharif,2078,16.49,34258.34
Cotton,Karnataka,Rabi,1982,26.7,52923.69
Rice,Gujarat,Rabi,3982,29.75,118451.0
Cotton,Punjab,Kharif,4403,18.06,79515.99
Maize,Karnataka,Kharif,4208,17.93,75459.45
Soybean,Tamil Nadu,Rabi,2414,15.45,37302.43
Cotton,Punjab,Kharif,841,23.72,19946.68
Maize,Karnataka,Kharif,3606,23.62,85176.76
Cotton,Punjab,Rabi,1624,19.15,31094.61
Wheat,Karnataka,Rabi,676,34.18,23102.74
Rice,Karnataka,Kharif,2178,17.04,37108.03
Cotton,Maharashtra,Rabi,987,17.9,17667.76
Wheat,Maharashtra,Rabi,3868,25.77,99675.13
Cotton,Gujarat,Rabi,2416,24.97,60335.12
Cotton,Karnataka,Kharif,4966,30.68,152341.87
Cotton,Karnataka,Kharif,3121,34.59,107956.52
Rice,Punjab,Rabi,3011,19.65,59156.72
Cotton,Maharashtra,Rabi,2255,34.66,78155.69
Rice,Maharashtra,Kharif,3960,16.1,63749.9
Rice,Gujarat,Kharif,4959,26.21,129966.71
Soybean,Punjab,Rabi,1406,17.6,24741.44
Cotton,Tamil Nadu,Kharif,2949,25.04,73831.6
Rice,Gujarat,Kharif,4082,32.96,134559.0
Maize,Maharashtra,Rabi,1713,28.82,49374.53
Maize,Gujarat,Rabi,4106,34.36,141091.75
Maize,Maharashtra,Kharif,4773,23.06,110060.3
Rice,Maharashtra,Rabi,533,23.61,12582.48
Wheat,Karnataka,Rabi,1556,15.34,23865.34
Maize,Karnataka,Rabi,3676,26.32,96736.33
Soybean,Maharashtra,Kharif,2420,31.18,75457.91
Maize,Tamil Nadu,Rabi,3195,27.58,88124.97
Soybean,Punjab,Kharif,1227,27.12,33274.78
Rice,Punjab,Kharif,1094,28.47,31150.94
Maize,Gujarat,Kharif,2592,26.31,68196.52
Wheat,Maharashtra,Rabi,1322,30.69,40577.7
Soybean,Punjab,Kharif,2732,23.87,65216.26
Cotton,Tamil Nadu,Kharif,3601,23.74,85495.41
Rice,Tamil Nadu,Kharif,1030,27.79,28625.43
Wheat,Maharashtra,Kharif,3808,24.85,94627.93
Soybean,Gujarat,Kharif,2325,24.47,56892.18
Cotton,Punjab,Kharif,2503,19.66,49216.19
Wheat,Tamil Nadu,Kharif,2598,21.72,56423.44
Wheat,Maharashtra,Rabi,1805,21.52,38837.97
Maize,Karnataka,Kharif,766,20.2,15474.18
Maize,Punjab,Rabi,3708,34.62,128358.31
Cotton,Gujarat,Kharif,4828,15.5,74837.92
Soybean,Punjab,Kharif,969,22.79,22081.57
Soybean,Tamil Nadu,Kharif,572,33.64,19241.24
Rice,Gujarat,Kharif,2562,26.85,68788.96
Cotton,Maharashtra,Rabi,1200,19.87,23848.53
Soybean,Gujarat,Rabi,1462,16.14,23601.7
Maize,Maharashtra,Kharif,3776,24.98,94325.19
Cotton,Gujarat,Kharif,2088,33.36,69666.04
Maize,Karnataka,Kharif,2611,32.56,85018.45
Cotton,Gujarat,Kharif,1489,29.4,43770.18
Soybean,Gujarat,Kharif,574,27.4,15728.76
Rice,Maharashtra,Kharif,2736,32.93,90102.98
Wheat,Karnataka,Kharif,3074,26.06,80121.81
Maize,Tamil Nadu,Kharif,3236,18.32,59293.93
Cotton,Punjab,Rabi,4858,30.66,148934.43
Maize,Maharashtra,Rabi,741,33.61,24908.57
Rice,Punjab,Rabi,1582,21.94,34710.35
Maize,Karnataka,Kharif,1211,21.88,26494.21
Rice,Maharashtra,Kharif,2301,31.79,73156.44
Cotton,Gujarat,Kharif,2656,33.13,87992.38
Cotton,Punjab,Kharif,2776,34.83,96694.59
Rice,Gujarat,Kharif,3724,32.82,122230.72
Soybean,Gujarat,Rabi,2772,18.85,52244.84
Maize,Punjab,Kharif,3134,31.6,99049.11
Soybean,Punjab,Kharif,2816,20.75,58445.98
Soybean,Gujarat,Kharif,3782,17.65,66740.58
Wheat,Maharashtra,Rabi,1584,31.7,50212.88
Rice,Tamil Nadu,Kharif,2695,34.78,93729.19
Rice,Maharashtra,Rabi,2895,25.59,74085.75
Cotton,Tamil Nadu,Kharif,4533,27.56,124926.84
Maize,Punjab,Kharif,4104,25.58,104975.93
Maize,Punjab,Kharif,635,22.21,14102.61
Wheat,Karnataka,Rabi,2805,24.72,69325.83
Wheat,Tamil Nadu,Rabi,2547,17.33,44136.01
Rice,Tamil Nadu,Rabi,3948,28.49,112472.26
Cotton,Gujarat,Rabi,4172,31.87,132944.75
Soybean,Tamil Nadu,Rabi,1451,17.28,25074.94
Maize,Maharashtra,Rabi,2467,26.12,64427.0
Rice,Gujarat,Rabi,1708,16.28,27803.51
Maize,Punjab,Rabi,607,31.01,18826.03
Maize,Punjab,Rabi,4975,18.47,91881.21
Soybean,Punjab,Rabi,1015,29.76,30206.69
Wheat,Gujarat,Kharif,2865,16.99,48671.08
Rice,Punjab,Rabi,889,17.98,15980.09
Cotton,Punjab,Kharif,4425,33.51,148284.96
Rice,Punjab,Kharif,2201,22.63,49817.13
Soybean,Gujarat,Rabi,3539,24.84,87917.67
Wheat,Tamil Nadu,Rabi,4744,30.02,142418.45
Maize,Punjab,Kharif,3961,17.59,69663.85
Maize,Maharashtra,Rabi,1855,25.81,47885.51
Cotton,Gujarat,Rabi,2950,29.11,85889.14
Rice,Karnataka,Kharif,4990,16.86,84117.07
Rice,Punjab,Kharif,549,30.67,16838.06
Maize,Tamil Nadu,Kharif,4619,17.23,79597.49
Soybean,Punjab,Kharif,3405,20.71,70503.38
Maize,Tamil Nadu,Kharif,2762,27.68,76456.22
Cotton,Maharashtra,Rabi,4133,22.45,92778.78
Cotton,Gujarat,Kharif,1056,29.48,31128.87
Soybean,Gujarat,Kharif,2077,26.98,56030.4
Cotton,Maharashtra,Rabi,2104,32.41,68193.4
Wheat,Punjab,Kharif,2272,15.38,34947.18
Maize,Karnataka,Rabi,2326,25.38,59027.63
Maize,Gujarat,Rabi,1684,32.83,55278.57
Wheat,Maharashtra,Kharif,3853,28.83,111086.18
Rice,Maharashtra,Rabi,1597,26.52,42346.22
Rice,Gujarat,Rabi,1678,15.7,26341.91
Maize,Punjab,Rabi,4972,21.26,105728.99
Rice,Punjab,Kharif,4948,16.96,83909.28
Soybean,Tamil Nadu,Rabi,1124,28.17,31667.19
Rice,Tamil Nadu,Rabi,3086,28.72,88631.48
Cotton,Punjab,Kharif,4235,31.84,134848.83
Maize,Gujarat,Rabi,4196,17.8,74679.58
Rice,Gujarat,Kharif,3931,31.6,124220.11
Cotton,Tamil Nadu,Rabi,1985,16.15,32064.54
Cotton,Maharashtra,Rabi,2632,28.39,74733.46
Soybean,Tamil Nadu,Rabi,3104,24.32,75501.05
Cotton,Tamil Nadu,Kharif,3162,33.78,106825.47
Wheat,Tamil Nadu,Kharif,3233,32.86,106227.17
Cotton,Maharashtra,Kharif,2483,20.4,50648.04
Soybean,Punjab,Rabi,4494,17.86,80273.35
Maize,Punjab,Rabi,1774,19.57,34717.21
Rice,Karnataka,Rabi,1184,21.42,25357.47
Soybean,Gujarat,Rabi,3865,32.23,124560.02
